state,candidate_name,poll_pct,result_pct,bias,Electors
Alabama,Donald Trump,57.36126,62.031643,4.670383000000001,9
Alabama,Joseph R. Biden Jr.,37.82732,36.56999,-1.2573300000000032,9
Alaska,Donald Trump,51.23236,52.833143,1.6007829999999998,3
Alaska,Joseph R. Biden Jr.,43.57005,42.771952,-0.7980980000000031,3
Arizona,Donald Trump,46.10181,49.055981,2.9541710000000023,11
Arizona,Joseph R. Biden Jr.,48.70539,49.364691,0.6593009999999992,11
Arkansas,Donald Trump,58.94886,62.39573,3.446869999999997,6
Arkansas,Joseph R. Biden Jr.,36.17764,34.775062,-1.4025779999999983,6
California,Donald Trump,32.43615,34.320724,1.8845740000000006,55
California,Joseph R. Biden Jr.,61.62459,63.483947,1.8593570000000028,55
Colorado,Donald Trump,41.14974,41.897924,0.748184000000002,9
Colorado,Joseph R. Biden Jr.,53.60451,55.399542,1.795031999999999,9
Connecticut,Donald Trump,32.36636,39.187591,6.821230999999997,7
Connecticut,Joseph R. Biden Jr.,58.62337,59.261446,0.6380759999999981,7
Delaware,Donald Trump,34.60316,39.776533,5.173372999999998,3
Delaware,Joseph R. Biden Jr.,58.8553,58.745452,-0.1098479999999995,3
District of Columbia,Donald Trump,5.783106,5.397321,-0.38578500000000027,3
District of Columbia,Joseph R. Biden Jr.,90.7728,92.149694,1.376893999999993,3
Florida,Donald Trump,46.61909,51.21982,4.600729999999999,29
Florida,Joseph R. Biden Jr.,49.08035,47.861451,-1.2188990000000004,29
Georgia,Donald Trump,47.36694,49.237474,1.8705339999999993,16
Georgia,Joseph R. Biden Jr.,48.54042,49.473056,0.9326360000000022,16
Hawaii,Donald Trump,29.95864,34.268864,4.310224000000002,4
Hawaii,Joseph R. Biden Jr.,64.30571,63.733639,-0.5720710000000082,4
Idaho,Donald Trump,56.58932,63.837565,7.248244999999997,4
Idaho,Joseph R. Biden Jr.,38.45119,33.066402,-5.384788,4
Illinois,Donald Trump,39.00921,40.553444,1.5442339999999959,20
Illinois,Joseph R. Biden Jr.,55.02048,57.541636,2.5211559999999977,20
Indiana,Donald Trump,52.85299,57.021101,4.168111000000003,11
Indiana,Joseph R. Biden Jr.,42.03326,40.961637,-1.0716229999999953,11
Iowa,Donald Trump,47.59527,53.089325,5.494055000000003,6
Iowa,Joseph R. Biden Jr.,46.31091,44.891716,-1.4191939999999974,6
Kansas,Donald Trump,53.86327,56.212513,2.3492430000000013,6
Kansas,Joseph R. Biden Jr.,40.95338,41.559554,0.6061739999999958,6
Kentucky,Donald Trump,55.59515,62.086572,6.491422,8
Kentucky,Joseph R. Biden Jr.,39.86309,36.151515,-3.7115749999999963,8
Louisiana,Donald Trump,57.63751,58.460882,0.8233719999999991,8
Louisiana,Joseph R. Biden Jr.,37.07661,39.851457,2.774847000000001,8
Maine,Donald Trump,40.31588,44.021253,3.7053730000000016,4
Maine,Joseph R. Biden Jr.,53.32106,53.09246,-0.22860000000000014,4
Maryland,Donald Trump,31.63172,32.150292,0.5185719999999989,10
