cycle,state,candidate_name,poll_pct,result_pct,bias,party,Electors
2020,District of Columbia,Joseph R. Biden Jr.,90.7728,92.149694,1.376893999999993,DEM,3
2012,District of Columbia,Barack Obama,87.606372,90.91311392818724,3.3067419281872503,DEM,3
2016,District of Columbia,Hillary Rodham Clinton,85.58655,90.86382152999988,5.277271529999879,DEM,3
2012,Utah,Mitt Romney,70.903894,72.7905331026891,1.8866391026891023,REP,6
2008,Hawaii,Barack Obama,61.36834,71.84611789191477,10.47777789191477,DEM,4
2004,Utah,George W. Bush,68.217806,71.53594785330293,3.318141853302933,REP,6
2012,Hawaii,Barack Obama,61.410446,70.54523035585707,9.134784355857072,DEM,4
2020,Wyoming,Donald Trump,62.31048,69.936227,7.625747000000004,REP,3
2020,West Virginia,Donald Trump,62.13716,68.62827,6.491109999999999,REP,5
2016,West Virginia,Donald Trump,56.7511,68.49877453553427,11.747674535534266,REP,5
2004,Idaho,George W. Bush,58.14842,68.38283089396387,10.234410893963869,REP,4
2016,Wyoming,Donald Trump,60.58263,68.17263307654125,7.590003076541244,REP,3
2008,Vermont,Barack Obama,61.175092,67.45568319560924,6.28059119560924,DEM,3
2012,Oklahoma,Mitt Romney,61.07388,66.77231974301657,5.698439743016564,REP,7
2012,Vermont,Barack Obama,61.282387,66.5705503023823,5.288163302382301,DEM,3
2020,Vermont,Joseph R. Biden Jr.,66.51556,66.086417,-0.4291429999999963,DEM,3
2004,Nebraska,George W. Bush,61.052361,65.89864119889074,4.846280198890746,REP,5
2008,Oklahoma,John McCain,60.544592,65.64508112269351,5.10048912269351,REP,7
2020,Massachusetts,Joseph R. Biden Jr.,64.62505,65.600063,0.975013000000004,DEM,11
2004,Oklahoma,George W. Bush,62.30947,65.57040166475606,3.2609316647560647,REP,7
2020,Oklahoma,Donald Trump,59.18334,65.373272,6.189931999999999,REP,7
2020,Maryland,Joseph R. Biden Jr.,63.06125,65.360665,2.299414999999996,DEM,10
2016,Oklahoma,Donald Trump,57.61221,65.32286481962736,7.710654819627358,REP,7
2020,North Dakota,Donald Trump,56.03613,65.114049,9.077918999999994,REP,3
2008,Wyoming,John McCain,60.314045,64.77628819828946,4.462243198289464,REP,3
2012,Idaho,Mitt Romney,63.388433,64.52978349589283,1.14135049589283,REP,4
2020,Idaho,Donald Trump,56.58932,63.837565,7.248244999999997,REP,4
2020,Hawaii,Joseph R. Biden Jr.,64.30571,63.733639,-0.5720710000000082,DEM,4
2020,California,Joseph R. Biden Jr.,61.62459,63.483947,1.8593570000000028,DEM,55
2016,North Dakota,Donald Trump,56.06157,62.9556278313393,6.894057831339296,REP,3
2008,Rhode Island,Barack Obama,57.046468,62.86973499278178,5.823266992781782,DEM,4
2004,North Dakota,George W. Bush,58.222483,62.86133496146506,4.638851961465065,REP,3
2008,Utah,John McCain,58.92894,62.58386971450172,3.6549297145017263,REP,6
2020,New York,Joseph R. Biden Jr.,62.33197,62.542479,-0.289490999999998,DEM,29
2016,Kentucky,Donald Trump,54.82457,62.519638551900094,7.695068551900093,REP,8
2012,Rhode Island,Barack Obama,55.44139,62.50743133004045,7.0660413300404485,DEM,4
2004,Alabama,George W. Bush,56.894754,62.46068975770077,5.565935757700771,REP,9
2020,Arkansas,Donald Trump,58.94886,62.39573,3.446869999999997,REP,6
2012,West Virginia,Mitt Romney,56.072867,62.29584241943327,6.2229754194332685,REP,5
2016,Hawaii,Hillary Rodham Clinton,52.09185,62.22149173421738,10.12964173421738,DEM,4
2020,Kentucky,Donald Trump,55.59515,62.086572,6.491422,REP,8
2016,Alabama,Donald Trump,56.59494,62.08309236440906,5.488152364409061,REP,9
2020,Alabama,Donald Trump,57.36126,62.031643,4.670383000000001,REP,9
2004,Kansas,George W. Bush,58.568203,62.003980615547306,3.435777615547309,REP,6
2012,Maryland,Barack Obama,57.657117,61.97419077931849,4.317073779318491,DEM,10
2008,Delaware,Barack Obama,60.333533,61.942668981503935,1.6091359815039326,DEM,3
2008,Maryland,Barack Obama,59.795668,61.919344762645935,2.1236767626459354,DEM,10
2008,Illinois,Barack Obama,59.53349,61.91811452001323,2.384624520013233,DEM,20
2020,South Dakota,Donald Trump,54.48644,61.76939,7.28295,REP,3
2016,California,Hillary Rodham Clinton,54.90748,61.72638863699762,6.8189086369976195,DEM,55
2004,Massachusetts,John Kerry,59.064466,61.6166602048537,2.5521942048536985,DEM,11
2016,South Dakota,Donald Trump,51.64854,61.5307503789588,9.882210378958803,REP,3
2008,Idaho,John McCain,59.759197,61.51709147303861,1.7578944730386112,REP,4
2008,Massachusetts,Barack Obama,56.525618,61.36319910280229,4.8375811028022895,DEM,11
2004,Texas,George W. Bush,58.691891,61.08569088346479,2.393799883464794,REP,38
2004,Alaska,George W. Bush,57.769726,61.06532991253943,3.295603912539434,REP,3
2008,California,Barack Obama,57.665868,61.01263834713425,3.346770347134246,DEM,55
